2025-12-12 11:04:12 | INFO     | LOGIN_BLOCKED
2025-12-12 11:04:12 | WARNING  | HTTP 409: POST /api/login
2025-12-12 11:08:30 | INFO     | === VES HRMS Server Starting ===
2025-12-12 11:08:30 | INFO     | Logs directory: C:\Users\amurugai\Documents\VesHRMS\logs
2025-12-12 11:10:25 | INFO     | LOGIN_BLOCKED
2025-12-12 11:10:25 | WARNING  | HTTP 409: POST /api/login
2025-12-12 11:10:28 | INFO     | FORCE_LOGOUT
2025-12-12 11:10:28 | INFO     | LOGIN_SUCCESS
2025-12-12 11:10:29 | WARNING  | HTTP 422: GET /api/hr/leaves
2025-12-12 11:10:29 | WARNING  | HTTP 422: GET /api/hr/leaves
2025-12-12 11:11:06 | WARNING  | HTTP 422: GET /api/hr/dashboard/stats
2025-12-12 11:11:06 | WARNING  | HTTP 422: GET /api/hr/master/divisions
2025-12-12 11:11:06 | WARNING  | HTTP 422: GET /api/hr/master/designations
2025-12-12 11:11:06 | WARNING  | HTTP 422: GET /api/hr/master/branches
2025-12-12 11:11:06 | WARNING  | HTTP 422: GET /api/hr/master/departments
2025-12-12 11:11:06 | WARNING  | HTTP 422: GET /api/hr/employees/search
2025-12-12 11:11:07 | WARNING  | HTTP 422: GET /api/hr/dashboard/stats
2025-12-12 11:11:07 | WARNING  | HTTP 422: GET /api/hr/master/divisions
2025-12-12 11:11:07 | WARNING  | HTTP 422: GET /api/hr/master/designations
2025-12-12 11:11:07 | WARNING  | HTTP 422: GET /api/hr/master/branches
2025-12-12 11:11:07 | WARNING  | HTTP 422: GET /api/hr/master/departments
2025-12-12 11:11:07 | WARNING  | HTTP 422: GET /api/hr/employees/search
2025-12-12 11:11:07 | WARNING  | HTTP 422: GET /api/hr/employees/search
2025-12-12 11:11:07 | WARNING  | HTTP 422: GET /api/hr/employees/search
2025-12-12 11:22:40 | INFO     | === VES HRMS Server Starting ===
2025-12-12 11:22:40 | INFO     | Logs directory: C:\Users\amurugai\Documents\VesHRMS\logs
2025-12-12 11:25:25 | INFO     | LOGIN_BLOCKED
2025-12-12 11:25:25 | WARNING  | HTTP 409: POST /api/login
2025-12-12 11:25:28 | INFO     | FORCE_LOGOUT
2025-12-12 11:25:28 | INFO     | LOGIN_SUCCESS
2025-12-12 11:25:29 | WARNING  | HTTP 422: GET /api/hr/leaves
2025-12-12 11:25:29 | WARNING  | HTTP 422: GET /api/hr/leaves
2025-12-12 11:25:46 | WARNING  | HTTP 429: OPTIONS /api/hr/employees/search
2025-12-12 11:25:46 | WARNING  | HTTP 429: OPTIONS /api/hr/employees/search
2025-12-12 11:26:58 | WARNING  | HTTP 429: OPTIONS /api/hr/employees/search
2025-12-12 11:27:53 | WARNING  | HTTP 429: OPTIONS /api/hr/employees/search
2025-12-12 11:28:38 | INFO     | === VES HRMS Server Starting ===
2025-12-12 11:28:38 | INFO     | Logs directory: C:\Users\amurugai\Documents\VesHRMS\logs
2025-12-12 11:31:11 | INFO     | LOGIN_BLOCKED
2025-12-12 11:31:11 | WARNING  | HTTP 409: POST /api/login
2025-12-12 11:31:15 | INFO     | FORCE_LOGOUT
2025-12-12 11:31:15 | INFO     | LOGIN_SUCCESS
2025-12-12 11:31:16 | WARNING  | HTTP 422: GET /api/hr/leaves
2025-12-12 11:31:16 | WARNING  | HTTP 422: GET /api/hr/leaves
2025-12-12 11:31:18 | WARNING  | HTTP 429: OPTIONS /api/hr/employees/search
2025-12-12 11:31:18 | WARNING  | HTTP 429: OPTIONS /api/hr/employees/search
2025-12-12 11:31:37 | WARNING  | HTTP 429: OPTIONS /api/hr/employees/search
2025-12-12 11:37:44 | INFO     | === VES HRMS Server Starting ===
2025-12-12 11:37:44 | INFO     | Logs directory: C:\Users\amurugai\Documents\VesHRMS\logs
2025-12-12 11:38:52 | INFO     | LOGIN_BLOCKED
2025-12-12 11:38:52 | WARNING  | HTTP 409: POST /api/login
2025-12-12 11:38:55 | INFO     | FORCE_LOGOUT
2025-12-12 11:38:55 | INFO     | LOGIN_SUCCESS
2025-12-12 11:38:56 | WARNING  | HTTP 422: GET /api/hr/leaves
2025-12-12 11:38:56 | WARNING  | HTTP 422: GET /api/hr/leaves
2025-12-12 11:39:27 | WARNING  | HTTP 422: GET /api/hr/employees
2025-12-12 11:39:30 | WARNING  | HTTP 422: GET /api/hr/attendance
2025-12-12 11:39:33 | WARNING  | HTTP 422: GET /api/hr/reports/attendance
2025-12-12 11:39:36 | WARNING  | HTTP 422: GET /api/hr/payroll
2025-12-12 11:39:36 | WARNING  | HTTP 422: GET /api/hr/payroll/salary-config
2025-12-12 11:39:45 | WARNING  | HTTP 422: GET /api/hr/payroll
2025-12-12 11:39:45 | WARNING  | HTTP 422: GET /api/hr/payroll/salary-config
2025-12-12 11:39:54 | WARNING  | HTTP 422: POST /api/hr/payroll/calculate
2025-12-12 11:40:01 | WARNING  | HTTP 422: GET /api/hr/employees
2025-12-12 11:46:29 | INFO     | === VES HRMS Server Starting ===
2025-12-12 11:46:29 | INFO     | Logs directory: C:\Users\amurugai\Documents\VesHRMS\logs
2025-12-12 11:47:16 | INFO     | LOGIN_BLOCKED
